movie_id,genres,runtime_minutes,start_year,primary_title,numvotes,averagerating,rating_category
tt0848537,Adventure,102.0,2013,Epic,95318,6.7,Average
tt0848554,Horror,98.0,2016,The Sighting,747,3.8,Bad
tt0849437,Action,95.0,2018,Duel of Legends,35,6.0,Average
tt0850247,Sci-Fi,98.0,2018,Amsteroid,13,5.6,Average
tt0850677,Drama,110.0,2012,Jack & Diane,2538,4.5,Average
tt0850678,Romance,90.0,2015,Jackson Arms,15,6.1,Average
tt0850709,Biography,121.0,2010,Risen,182,5.3,Average
tt0851471,Adventure,76.0,2012,Sir Billi,445,4.2,Average
tt0852986,Comedy,84.0,2011,Naked Run,72,5.2,Average
tt0853002,Drama,95.0,2010,A Summer Song,7,6.3,Average
tt0853155,Documentary,74.0,2011,This Is What Love in Action Looks Like,198,6.8,Average
tt0856796,Drama,111.0,2010,Kolorádó Kid,135,6.0,Average
tt0857190,Action,112.0,2012,The Sweeney,18095,6.1,Average
tt0858411,Comedy,84.0,2010,2001 Maniacs: Field of Screams,2141,3.3,Bad
tt0858419,Drama,108.0,2019,Bolden,202,5.4,Average
tt0858422,Adventure,84.0,2011,Immortal Island,87,5.6,Average
tt0858500,Comedy,82.0,2010,Wide Blue Yonder,69,5.7,Average
tt0859635,Comedy,99.0,2018,Super Troopers 2,20104,6.1,Average
tt0860907,Action,96.0,2012,Evangelion: 3.0 You Can (Not) Redo,8215,7.0,Average
tt0861747,Action,103.0,2010,Zenitram,91,4.7,Average
tt0862748,Action,133.0,2014,Lupin the 3rd,1288,5.6,Average
tt0862930,Horror,108.0,2018,Dukun,307,6.9,Average
tt0864835,Adventure,92.0,2014,Mr. Peabody & Sherman,57277,6.8,Average
tt0865557,Drama,83.0,2012,Letting Go,75,6.5,Average
tt0865561,Comedy,100.0,2011,6 Month Rule,595,4.9,Average
tt0865911,Mystery,89.0,2011,Catharsis,11,6.6,Average
tt0870208,Comedy,95.0,2010,Touch Wood,15,8.7,Good
tt0871891,Comedy,95.0,2012,The Nightclub Days,7,5.0,Average
tt0871893,Drama,83.0,2010,"Surprise, Surprise",162,4.9,Average
tt0872230,Horror,107.0,2010,My Soul to Take,18381,4.8,Average
tt0873886,Action,88.0,2011,Red State,59266,6.2,Average
tt0874268,Drama,95.0,2017,The Dot Man,42,7.5,Good
tt0874421,Documentary,78.0,2010,Beijing Taxi,55,6.8,Average
tt0874426,Thriller,90.0,2010,The Secret Philosophy,15,7.6,Good
tt0875612,Documentary,95.0,2011,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,7,7.1,Good
tt0875613,Horror,100.0,2011,Rift,404,2.7,Bad
tt0875702,Documentary,120.0,2010,Bury the Hatchet,14,8.6,Good
tt0878654,Thriller,82.0,2010,Bulletface,875,5.8,Average
tt0878672,Documentary,72.0,2010,First Circle,33,7.0,Average
tt0878814,Comedy,90.0,2012,Jewtopia,1342,4.5,Average
tt0878835,Comedy,87.0,2010,Please Give,10652,6.6,Average
tt0879405,Thriller,82.0,2010,Harm's Way,250,5.3,Average
tt0879859,Thriller,95.0,2010,Torn,21,6.8,Average
tt0879870,Drama,133.0,2010,Eat Pray Love,77709,5.8,Average
tt0880569,Musical,100.0,2011,Mama I Want to Sing,282,5.0,Average
tt0881320,Adventure,108.0,2011,Sanctum,51318,5.9,Average
tt0882741,Comedy,100.0,2010,AIR: The Musical,59,7.2,Good
tt0882977,Action,112.0,2013,Snitch,78142,6.5,Average
tt0884214,Horror,87.0,2010,Wreckage,1045,4.3,Average
tt0884325,Horror,95.0,2011,Drain Baby,46,7.0,Average
tt0884726,Adventure,88.0,2013,Legends of Oz: Dorothy's Return,5351,5.5,Average
tt0884732,Comedy,101.0,2015,The Wedding Ringer,66893,6.7,Average
tt0887143,Horror,92.0,2011,Hyenas,952,2.8,Bad
tt0887161,Comedy,97.0,2010,Repo,215,4.5,Average
tt0887266,Documentary,81.0,2013,Rollerboy,13,8.3,Good
tt0887751,Crime,118.0,2010,Honor,29,5.6,Average
tt0889573,Comedy,101.0,2010,The Switch,90661,6.1,Average
tt0892062,Animation,95.0,2014,Hamlet A.D.D.,78,7.1,Good
tt0892077,Fantasy,90.0,2011,Gun of the Black Sun,68,6.1,Average
tt0892318,Adventure,105.0,2010,Letters to Juliet,86137,6.6,Average
tt0892769,Action,98.0,2010,How to Train Your Dragon,611299,8.1,Good
tt0892791,Adventure,93.0,2010,Shrek Forever After,167532,6.3,Average
tt0893310,Drama,90.0,2011,Blur,33,7.0,Average
